,TF,Term,Stem,wTF,SType,Score,wTFref
1091,235,christianity,christian,0.0006108656095658955,raw,2.2195087244387217,6.637817143126326e-05
2271,60,charity,chariti,0.00015596568754873928,raw,2.2088134353219733,1.7129850691938907e-05
4927,30,hypotheses,hypothes,7.798284377436964e-05,raw,2.2088134353219733,8.564925345969454e-06
1033,396,bah,bah,0.0010293735378216792,noref,2.20301352315259,
4218,67,karl,karl,0.00017416168442942553,raw,2.201378456834455,1.927108202843127e-05
3248,74,sweden,sweden,0.00019235768131011178,raw,2.195390414989833,2.1412313364923634e-05
4475,37,journals,journal,9.617884065505589e-05,raw,2.195390414989833,1.0706156682461817e-05
3240,59,implementation,implement,0.00015336625942292696,raw,2.192006317005592,1.7129850691938907e-05
2831,103,evolution,evolut,0.0002677410969586691,raw,2.189582073394086,2.9977238710893088e-05
94,22,highlighted,highlight,5.718741876787107e-05,stem,2.1863405794699147,6.42369400947709e-06
2068,22,lutheran,lutheran,5.718741876787107e-05,raw,2.1863405794699147,6.42369400947709e-06
3815,22,freedoms,freedom,5.718741876787107e-05,raw,2.1863405794699147,6.42369400947709e-06
4086,22,salvador,salvador,5.718741876787107e-05,raw,2.1863405794699147,6.42369400947709e-06
13277,22,divinely,divin,5.718741876787107e-05,raw,2.1863405794699147,6.42369400947709e-06
721,1133,international,intern,0.00294515206654536,raw,2.1831095588884684,0.0003318908571563163
1630,523,resources,resourc,0.001359500909799844,raw,2.1768257598285765,0.00015416865622745017
81,196,concepts,concept,0.000509487912659215,raw,2.1761882080058967,5.781324608529381e-05
3512,36,disability,disabl,9.357941252924356e-05,raw,2.1679914408017185,1.0706156682461817e-05
8397,43,syndicalism,syndic,0.00011177540940992982,stem,2.163351061245216,1.284738801895418e-05
3836,50,broadly,broadli,0.00012997140629061605,raw,2.1600232711525416,1.4988619355446544e-05
4438,50,anthropology,anthropolog,0.00012997140629061605,raw,2.1600232711525416,1.4988619355446544e-05
6027,50,participants,particip,0.00012997140629061605,raw,2.1600232711525416,1.4988619355446544e-05
6246,71,seeks,seek,0.00018455939693267482,raw,2.154005198826978,2.1412313364923634e-05
1524,120,christians,christian,0.00031193137509747857,raw,2.1481888135055387,3.6400932720370175e-05
5945,112,parliament,parliament,0.00029113595009098,raw,2.139820563835022,3.4259701383877815e-05
8403,42,depletion,deplet,0.00010917598128411749,raw,2.139820563835022,1.284738801895418e-05
1722,35,adherents,adher,9.097998440343124e-05,raw,2.139820563835022,1.0706156682461817e-05
4037,35,suffrage,suffrag,9.097998440343124e-05,raw,2.139820563835022,1.0706156682461817e-05
13268,28,esoteric,esoter,7.2783987522745e-05,raw,2.139820563835022,8.564925345969454e-06
3385,21,ozone,ozon,5.4587990642058745e-05,raw,2.139820563835022,6.42369400947709e-06
6471,21,hegelian,hegelian,5.4587990642058745e-05,raw,2.139820563835022,6.42369400947709e-06
9668,21,malta,malta,5.4587990642058745e-05,raw,2.139820563835022,6.42369400947709e-06
9842,21,discriminatory,discriminatori,5.4587990642058745e-05,raw,2.139820563835022,6.42369400947709e-06
634,138,theories,theori,0.0003587210813621003,raw,2.1254318263829224,4.282462672984727e-05
2847,165,access,access,0.000428905640759033,raw,2.1218020583323436,5.138955207581672e-05
2672,75,michael,michael,0.0001949571094359241,raw,2.1135032555176485,2.3553544701415998e-05
364,34,canon,canon,8.838055627761893e-05,raw,2.1108330269617697,1.0706156682461817e-05
1759,34,scales,scale,8.838055627761893e-05,raw,2.1108330269617697,1.0706156682461817e-05
2342,34,landscapes,landscap,8.838055627761893e-05,raw,2.1108330269617697,1.0706156682461817e-05
7555,27,assassination,assassin,7.018455939693267e-05,raw,2.103452919664147,8.564925345969454e-06
8395,27,gregory,gregori,7.018455939693267e-05,raw,2.103452919664147,8.564925345969454e-06
10465,27,harmful,harm,7.018455939693267e-05,raw,2.103452919664147,8.564925345969454e-06
2530,276,communities,commun,0.0007174421627242006,raw,2.100739213792551,8.779048479618689e-05
629,161,democracy,democraci,0.00041850792825578374,raw,2.097260949416226,5.138955207581672e-05
886,161,declaration,declar,0.00041850792825578374,raw,2.097260949416226,5.138955207581672e-05
1343,120,refers,refer,0.00031193137509747857,raw,2.09103039966559,3.854216405686254e-05
3092,100,agreements,agreement,0.0002599428125812321,raw,2.09103039966559,3.211847004738545e-05
4328,100,federation,feder,0.0002599428125812321,raw,2.09103039966559,3.211847004738545e-05
3528,40,debates,debat,0.00010397712503249285,raw,2.09103039966559,1.284738801895418e-05
4327,40,arab,arab,0.00010397712503249285,stem,2.09103039966559,1.284738801895418e-05
1491,20,ram,ram,5.1988562516246424e-05,stem,2.09103039966559,6.42369400947709e-06
2974,20,matt,matt,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
6707,20,orthodoxy,orthodoxi,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
8040,20,struggles,struggl,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
8514,20,mystic,mystic,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
10143,20,blacks,black,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
13377,20,constantinople,constantinopl,5.1988562516246424e-05,raw,2.09103039966559,6.42369400947709e-06
3290,660,energy,energi,0.001715622563036132,raw,2.0809800638120888,0.00021412313364923633
1346,33,theologian,theologian,8.57811281518066e-05,raw,2.0809800638120883,1.0706156682461817e-05
1039,421,spiritual,spiritu,0.0010943592409669873,raw,2.0776601651024182,0.00013703880553551126
737,59,focuses,focus,0.00015336625942292696,stem,2.0742232813492087,1.927108202843127e-05
3175,183,african,african,0.0004756953470236548,raw,2.0711920574459257,5.9954477421786175e-05
1589,26,traditionalist,traditionalist,6.758513127112035e-05,raw,2.0657125916813,8.564925345969454e-06
2579,26,augustine,augustin,6.758513127112035e-05,raw,2.0657125916813,8.564925345969454e-06
3676,26,rawls,rawl,6.758513127112035e-05,stem,2.0657125916813,8.564925345969454e-06
5392,26,gravitational,gravit,6.758513127112035e-05,raw,2.0657125916813,8.564925345969454e-06
7638,26,pragmatism,pragmat,6.758513127112035e-05,stem,2.0657125916813,8.564925345969454e-06
7780,26,internationally,intern,6.758513127112035e-05,raw,2.0657125916813,8.564925345969454e-06
9338,26,israeli,isra,6.758513127112035e-05,raw,2.0657125916813,8.564925345969454e-06
