,TF,Term,Stem,wTF,SType,Score,wTFref
2856,3,instrumentation,instrument,0.00011149100639215103,raw,2.566268511922818,8.564925345969454e-06
1744,14,emperor,emperor,0.0005202913631633715,raw,2.548568934823417,4.06833953933549e-05
1607,19,kingdom,kingdom,0.0007061097071502898,raw,2.5402930255195573,5.567201474880145e-05
2466,8,mill,mill,0.0002973093503790694,raw,2.5354968532560638,2.3553544701415998e-05
2686,8,furnace,furnac,0.0002973093503790694,raw,2.5354968532560638,2.3553544701415998e-05
2720,23,coal,coal,0.0008547643823398246,raw,2.523708897504022,6.851940276775563e-05
350,15,punishment,punish,0.0005574550319607552,raw,2.517478347753386,4.496585806633963e-05
372,10,influential,influenti,0.00037163668797383676,raw,2.5174783477533857,2.9977238710893088e-05
930,5,generate,gener,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
1075,5,anarchy,anarchi,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
1848,5,spain,spain,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
1980,5,amendments,amend,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
2531,5,commodity,commod,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
2821,5,packaging,packag,0.00018581834398691838,raw,2.5174783477533857,1.4988619355446544e-05
11,14,theories,theori,0.0005202913631633715,raw,2.4972756404358663,4.282462672984727e-05
1887,7,aggression,aggress,0.00026014568158168577,raw,2.4972756404358663,2.1412313364923634e-05
1555,9,imperial,imperi,0.0003344730191764531,raw,2.4862258042492815,2.7836007374400724e-05
2510,11,orientation,orient,0.00040880035677122044,raw,2.4792571349331882,3.4259701383877815e-05
2234,5,polled,poll,0.00018581834398691838,stem,2.470958332118493,1.570236313427733e-05
1081,10,arguments,argument,0.00037163668797383676,raw,2.4484854762664345,3.211847004738545e-05
1718,10,israel,israel,0.00037163668797383676,raw,2.4484854762664345,3.211847004738545e-05
1539,6,rulers,ruler,0.00022298201278430206,raw,2.4484854762664345,1.927108202843127e-05
1507,16,democracy,democraci,0.0005946187007581388,raw,2.448485476266434,5.138955207581672e-05
2566,8,wealthy,wealthi,0.0002973093503790694,raw,2.448485476266434,2.569477603790836e-05
266,4,lacks,lack,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
511,4,capitalist,capitalist,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
565,4,economist,economist,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
644,4,arab,arab,0.0001486546751895347,stem,2.448485476266434,1.284738801895418e-05
780,4,compares,compar,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
1611,4,partition,partit,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
2544,4,hawaiian,hawaiian,0.0001486546751895347,raw,2.448485476266434,1.284738801895418e-05
2718,4,turbines,turbin,0.0001486546751895347,stem,2.448485476266434,1.284738801895418e-05
